Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
5,4294967295,1,47,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1775885424228162.176	,3.021,0,0,0,NO,N/A,N/A,N/A,"""1,4096""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,4294967295,69,47,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1775885424236398.028	,1.341,88.220000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746,2463,0.035,0.047,0.282,0.378,0.254,0.341,0.149,0.199,0.0,0.000
5,4294967295,71,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424241787.754	,1.601,5388.409000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,3225,0.035,0.036,0.213,0.218,0.254,0.26,0.154,0.158,0.197,0.000
5,4294967295,72,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424241843.426	,1.521,54.149000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896,2956,0.035,0.039,0.249,0.278,0.263,0.293,0.16,0.178,0.162,0.000
5,4294967295,73,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424241867.492	,1.440,22.479000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912,3008,0.035,0.039,0.233,0.256,0.269,0.295,0.162,0.178,0.188,0.000
5,4294967295,74,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424241907.100	,1.461,38.060000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2970,0.035,0.039,0.235,0.262,0.265,0.294,0.158,0.175,0.188,0.000
5,4294967295,75,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424241931.206	,1.440,22.789000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894,2951,0.035,0.039,0.241,0.27,0.254,0.284,0.152,0.17,0.188,0.000
5,4294967295,77,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242101.503	,1.441,168.810000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,2828,0.035,0.041,0.214,0.25,0.252,0.294,0.153,0.179,0.188,0.000
5,4294967295,80,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242161.837	,1.460,58.809000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869,2869,0.035,0.04,0.212,0.244,0.257,0.296,0.16,0.184,0.188,0.000
5,4294967295,83,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242220.890	,1.540,57.790000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921,3040,0.035,0.038,0.255,0.276,0.267,0.29,0.165,0.179,0.188,0.000
5,4294967295,86,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242276.462	,1.400,53.960000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887,2927,0.035,0.04,0.234,0.264,0.257,0.289,0.155,0.175,0.188,0.000
