Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2413,176.356,1775810567715711.637	,1775810567715887.994	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2414,1.340,1775810567715888.034	,1775810567715889.374	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2415,1.339,1775810567715889.414	,1775810567715890.754	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2416,176.756,1775810567715890.774	,1775810567716067.530	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2417,1.259,1775810567716067.550	,1775810567716068.810	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2418,1.279,1775810567716068.830	,1775810567716070.110	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2419,176.556,1775810567716147.689	,1775810567716324.245	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2420,1.259,1775810567716324.265	,1775810567716325.525	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2421,1.239,1775810567716325.565	,1775810567716326.805	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2422,175.616,1775810567716326.825	,1775810567716502.442	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2423,1.219,1775810567716502.462	,1775810567716503.681	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2424,1.259,1775810567716503.701	,1775810567716504.961	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2425,175.296,1775810567716504.981	,1775810567716680.278	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2426,1.280,1775810567716680.298	,1775810567716681.578	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2427,1.259,1775810567716681.618	,1775810567716682.878	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2428,176.336,1775810567716682.898	,1775810567716859.234	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2429,1.279,1775810567716859.254	,1775810567716860.534	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2430,1.319,1775810567716860.574	,1775810567716861.894	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2431,176.976,1775810567716861.914	,1775810567717038.891	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2432,1.219,1775810567717038.931	,1775810567717040.151	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2433,1.299,1775810567717040.171	,1775810567717041.471	
