Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
4,4294967295,1135,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663608.278	,1.220,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662,1093,0.034,0.051,0.254,0.383,0.113,0.171,0.145,0.22,0.018,0.000
4,4294967295,1136,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663609.518	,47.059,0.030000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.709,2950791,31.827,0.712,11.551,0.258,7.172,0.16,5.626,0.126,0.0,0.000
4,4294967295,1137,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663656.597	,1.180,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,1045,0.034,0.054,0.292,0.46,0.128,0.203,0.147,0.233,0.0,0.000
4,4294967295,1138,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663657.797	,1.200,0.070000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,1149,0.034,0.049,0.285,0.41,0.117,0.168,0.143,0.205,0.018,0.000
4,4294967295,1139,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663659.017	,47.619,0.050000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.13,2978608,31.827,0.705,11.888,0.263,7.049,0.156,5.665,0.126,0.0,0.000
4,4294967295,1140,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663706.656	,1.120,0.131000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635,1048,0.034,0.053,0.31,0.488,0.125,0.198,0.144,0.226,0.0,0.000
4,4294967295,1141,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663707.816	,1.180,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673,1111,0.034,0.05,0.258,0.383,0.117,0.174,0.138,0.204,0.018,0.000
4,4294967295,1142,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663709.016	,47.639,0.070000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.22,2984499,31.827,0.704,11.908,0.263,7.28,0.161,5.673,0.125,0.0,0.000
4,4294967295,1143,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663756.695	,1.120,0.111000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592,976,0.034,0.057,0.268,0.454,0.125,0.211,0.139,0.235,0.0,0.000
4,4294967295,1144,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663757.835	,1.240,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1089,0.034,0.051,0.256,0.388,0.122,0.185,0.133,0.202,0.018,0.000
4,4294967295,1145,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663759.095	,47.579,0.010000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.969,2967980,31.827,0.708,11.663,0.259,7.379,0.164,5.644,0.126,0.0,0.000
4,4294967295,1146,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663806.694	,1.160,0.171000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,954,0.034,0.059,0.268,0.463,0.11,0.19,0.134,0.232,0.0,0.000
